dataset_type,tier,match_id,patch,duration_min,role,champion,win,kills,deaths,assists,kda,player_damage,dpm,total_gold,gpm,cs_total,cspm,teamkills,kp,aggression_index,damage_share,team_damage,rce,vision_score,vspm,wards_placed,wards_killed,vision_efficiency,team_dragons,team_barons,team_towers,gold_diff_10,xp_diff_10,cs_diff_10,lane_pressure_index
pro,PRO,LOLTMNT04_135172,15.2,30.216666666666665,TOP,Sion,False,1,5,2,0.6,20689.0,684.6884,11556.0,250.9211,245.99992666666665,8.1412,6.0,0.5,0.5,0.228043,90724.11781988485,2.7286999778017873,18.0,0.5956977385548814,8.0,1.0,0.2978488692774407,,0.0,,-365.0,-324.0,-9.0,232.66666666666666
pro,PRO,LOLTMNT04_135172,15.2,30.216666666666665,JUNGLE,Pantheon,False,1,6,3,0.6666666666666666,10643.0,352.2228,9194.0,172.7523,147.00106166666666,4.8649,6.0,0.6666666666666666,0.5714285714285714,0.117312,90723.88161483906,2.0388892072638107,32.0,1.059018201875345,8.0,2.0,0.3309431880860452,,0.0,,-354.0,-365.0,-9.0,242.66666666666666
pro,PRO,LOLTMNT04_135172,15.2,30.216666666666665,MIDDLE,Taliyah,False,1,4,3,1.0,16480.0,545.3944,11045.0,234.0099,239.99889666666664,7.9426,6.0,0.6666666666666666,0.8,0.18165,90723.91962565373,2.3306466948620552,19.0,0.628792057363486,12.0,3.0,0.49641478212906787,,0.0,,-703.0,-583.0,-22.0,436.0
pro,PRO,LOLTMNT04_135172,15.2,30.216666666666665,BOTTOM,Tristana,False,3,4,1,1.0,35922.0,1188.8141,12807.0,292.3221,290.99858666666665,9.6304,6.0,0.6666666666666666,0.8,0.395948,90724.03446917271,4.066795155070383,49.0,1.6216216216216217,11.0,18.0,0.9597352454495313,,0.0,,413.0,239.0,21.0,224.33333333333334
pro,PRO,LOLTMNT04_135172,15.2,30.216666666666665,UTILITY,Lulu,False,0,1,5,5.0,6990.0,231.3293,7087.0,103.0226,31.999449999999996,1.059,6.0,0.8333333333333334,2.5,0.0770469,90723.96163894978,2.2454228489671197,92.0,3.0446773303916164,42.0,11.0,1.7539988968560398,,0.0,,-51.0,-214.0,-4.0,89.66666666666667
pro,PRO,LOLTMNT04_135172,15.2,30.216666666666665,TOP,K'Sante,True,2,1,7,9.0,22989.0,760.8053,11882.0,261.7099,253.0011283333333,8.3729,20.0,0.45,4.5,0.239606,95945.00972429739,2.9070558660562704,27.0,0.8935466078323222,14.0,1.0,0.49641478212906787,,0.0,,365.0,324.0,9.0,232.66666666666666
pro,PRO,LOLTMNT04_135172,15.2,30.216666666666665,JUNGLE,Trundle,True,3,1,11,14.0,14096.0,466.4975,12670.0,287.7882,192.99989333333332,6.3872,20.0,0.7,7.0,0.146918,95944.67662233356,1.6209750781998704,51.0,1.6878102592388307,10.0,15.0,0.8273579702151131,,1.0,,354.0,365.0,9.0,242.66666666666666
pro,PRO,LOLTMNT04_135172,15.2,30.216666666666665,MIDDLE,Ahri,True,5,2,9,7.0,19319.0,639.3491,14309.0,342.0298,283.000235,9.3657,20.0,0.7,4.666666666666667,0.201355,95944.97280921755,1.8692789341747413,34.0,1.1252068394925538,9.0,7.0,0.5295091009376725,,0.0,,703.0,583.0,22.0,436.0
pro,PRO,LOLTMNT04_135172,15.2,30.216666666666665,BOTTOM,Yunara,True,10,2,7,8.5,34734.0,1149.4981,16719.0,421.7871,310.9989983333333,10.2923,20.0,0.85,5.666666666666667,0.36202,95944.97541572289,2.7253040692804498,29.0,0.9597352454495313,13.0,9.0,0.7280750137892995,,0.0,,-413.0,-239.0,-21.0,224.33333333333334
pro,PRO,LOLTMNT04_135172,15.2,30.216666666666665,UTILITY,Rakan,True,0,0,17,17.0,4807.0,159.0844,8099.0,136.5141,34.999965,1.1583,20.0,0.85,17.0,0.0501016,95945.0396793715,1.1653331047855129,103.0,3.408714837286266,63.0,9.0,2.3827909542195256,,0.0,,51.0,214.0,4.0,89.66666666666667
pro,PRO,LOLTMNT04_135173,15.2,28.883333333333333,TOP,Jax,True,4,0,2,6.0,16929.0,586.1166,14534.0,371.2522,284.0011516666667,9.8327,18.0,0.3333333333333333,6.0,0.194158,87191.87465878305,1.578755896934752,30.0,1.03866128101558,16.0,3.0,0.6578188113098673,,0.0,,129.0,-52.0,5.0,62.0
pro,PRO,LOLTMNT04_135173,15.2,28.883333333333333,JUNGLE,Naafiri,True,6,1,7,13.0,19344.0,669.7288,12261.0,292.5563,214.99886833333332,7.4437,18.0,0.7222222222222222,6.5,0.221855,87192.08492033085,2.2892304831582844,31.0,1.0732833237160992,9.0,3.0,0.415464512406232,,1.0,,-263.0,-258.0,-7.0,176.0
pro,PRO,LOLTMNT04_135173,15.2,28.883333333333333,MIDDLE,Orianna,True,4,2,9,6.5,22828.0,790.352,12376.0,296.5378,250.99905499999997,8.6901,18.0,0.7222222222222222,4.333333333333333,0.261813,87192.00345284611,2.6652656086340425,32.0,1.1079053664166185,7.0,11.0,0.6231967686093479,,0.0,,627.0,230.0,1.0,286.0
